data,cliques
2025-09-11,2
2025-09-12,1
2025-09-13,10
2025-09-14,2
2025-09-15,1228
2025-09-16,229
2025-09-17,41
2025-09-18,29
2025-09-19,19
2025-09-20,11
2025-09-21,7
2025-09-22,6
2025-09-23,2
2025-09-24,2
2025-09-26,3
2025-09-28,1
2025-09-29,2
2025-10-01,2
2025-10-03,3
2025-10-09,1
2025-10-12,1
2025-10-15,1
2025-10-29,1
2025-11-01,2
2025-11-02,193
2025-11-03,869
2025-11-04,231
2025-11-05,47
2025-11-06,23
2025-11-07,6
2025-11-08,3
2025-11-09,4
2025-11-10,5
2025-11-11,2
2025-11-12,3
2025-11-14,1
2025-11-15,1
2025-11-18,1
2025-11-19,2
2025-11-20,3
2025-11-29,1
2025-11-30,1
2025-12-09,2
2025-12-10,1
2025-12-24,1
2026-01-02,6
2026-01-16,1
2026-01-27,1
2026-01-28,3
2026-01-29,1
2026-02-01,1
2026-02-02,1148
2026-02-03,334
2026-02-04,104
2026-02-05,37
2026-02-06,17
2026-02-07,11
2026-02-08,15
2026-02-09,7
2026-02-10,2
2026-02-11,12
2026-02-12,2
2026-02-14,1
2026-02-15,1
2026-02-16,6
2026-02-17,4
2026-02-18,1
2026-02-19,2
2026-02-21,1
2026-02-22,2
2026-02-24,1
2026-02-26,1
2026-03-03,1
2026-03-05,2
2026-03-06,1
2026-03-12,1
2026-03-13,1
2026-03-16,1
2026-03-22,1
2026-03-23,853
2026-03-24,260
2026-03-25,50
2026-03-26,20
2026-03-27,14
2026-03-28,2
2026-03-29,4
2026-03-30,2
2026-03-31,3
2026-04-01,6
2026-04-08,3
2026-04-09,1
2026-04-12,1
2026-04-13,1
2026-04-14,5
2026-04-18,1
2026-04-19,1
2026-04-20,1
2026-04-29,1
2026-05-01,1
2026-05-06,1
2026-05-19,1
2026-05-21,1
2026-06-01,1
2026-06-18,1
2026-07-06,1
2026-07-15,1
2026-07-20,401
2026-07-21,147
2026-07-22,32
2026-07-23,11
2026-07-24,5
2026-07-25,3
2026-07-26,3
2026-07-27,1
2026-07-29,1
2026-07-30,1
2026-07-31,2
2026-08-03,1
2026-08-05,1
2026-08-08,2
2026-08-11,2
2026-08-14,1
2026-08-15,1
2026-08-16,3
2026-08-19,1
2026-08-22,1
2026-08-27,1
2026-09-03,3
2026-09-04,2
2026-09-07,1
2026-09-09,1
2026-09-13,1
2026-09-14,938
2026-09-15,179
2026-09-16,32
2026-09-17,7
