data,canal,cliques
2025-09-15,sms,804
2025-09-15,email,1228
2025-09-15,wp,3363
2025-09-15,wp_ind,0
2025-11-03,sms,1665
2025-11-03,email,869
2025-11-03,wp,2202
2025-11-03,wp_ind,0
2026-02-02,sms,3823
2026-02-02,email,1148
2026-02-02,wp,2614
2026-02-02,wp_ind,1748
2026-03-23,sms,1967
2026-03-23,email,853
2026-03-23,wp,885
2026-03-23,wp_ind,1028
2026-07-20,sms,1256
2026-07-20,email,401
2026-07-20,wp,1648
2026-07-20,wp_ind,2037
2026-09-14,sms,1833
2026-09-14,email,938
2026-09-14,wp,1773
2026-09-14,wp_ind,1766
