data,cliques
2025-09-12,1
2025-09-13,9
2025-09-15,804
2025-09-16,49
2025-09-17,40
2025-09-18,19
2025-09-19,10
2025-09-20,4
2025-09-21,6
2025-09-22,10
2025-09-23,6
2025-10-01,3
2025-10-03,1
2025-10-05,1
2025-10-11,2
2025-10-13,1
2025-10-15,1
2025-10-17,2
2025-10-22,1
2025-11-03,1665
2025-11-04,220
2025-11-05,31
2025-11-06,15
2025-11-07,7
2025-11-08,8
2025-11-10,2
2025-11-12,1
2025-11-15,1
2025-11-16,2
2025-11-17,1
2025-11-18,2
2025-11-23,1
2025-11-28,2
2025-12-18,1
2025-12-23,1
2026-01-26,1
2026-01-27,2
2026-01-28,1
2026-01-29,1
2026-01-30,1
2026-02-01,2
2026-02-02,3823
2026-02-03,629
2026-02-04,192
2026-02-05,66
2026-02-06,27
2026-02-07,43
2026-02-08,9
2026-02-09,50
2026-02-10,19
2026-02-11,8
2026-02-12,4
2026-02-13,5
2026-02-14,1
2026-02-15,7
2026-02-16,3
2026-02-17,2
2026-02-18,2
2026-02-19,4
2026-02-20,5
2026-02-21,2
2026-02-22,2
2026-02-23,4
2026-02-25,2
2026-02-28,4
2026-03-03,1
2026-03-06,1
2026-03-07,1
2026-03-09,4
2026-03-13,2
2026-03-14,2
2026-03-17,1
2026-03-20,1
2026-03-22,2
2026-03-23,1967
2026-03-24,189
2026-03-25,82
2026-03-26,41
2026-03-27,5
2026-03-28,7
2026-03-29,5
2026-03-30,27
2026-03-31,8
2026-04-01,5
2026-04-02,2
2026-04-03,1
2026-04-04,6
2026-04-05,8
2026-04-06,4
2026-04-07,1
2026-04-08,1
2026-04-09,2
2026-04-11,1
2026-04-13,3
2026-04-14,2
2026-04-16,3
2026-04-18,1
2026-04-19,2
2026-04-23,1
2026-04-28,4
2026-05-06,1
2026-05-08,1
2026-05-09,1
2026-05-10,1
2026-05-13,1
2026-05-16,2
2026-05-18,1
2026-05-31,2
2026-06-10,1
2026-06-12,1
2026-06-25,1
2026-07-13,2
2026-07-17,2
2026-07-20,1256
2026-07-21,82
2026-07-22,41
2026-07-23,50
2026-07-24,15
2026-07-25,2
2026-07-26,4
2026-07-27,37
2026-07-28,4
2026-07-29,3
2026-07-30,2
2026-07-31,2
2026-08-03,3
2026-08-04,1
2026-08-05,1
2026-08-06,3
2026-08-10,1
2026-08-13,1
2026-08-16,1
2026-08-17,2
2026-08-19,1
2026-08-20,2
2026-08-21,2
2026-08-24,1
2026-08-26,1
2026-08-28,1
2026-08-31,1
2026-09-09,2
2026-09-10,1
2026-09-12,1
2026-09-14,1833
2026-09-15,153
2026-09-16,34
2026-09-17,9
