data,cliques
2025-09-12,1
2026-01-20,1
2026-01-26,2
2026-01-27,5
2026-01-28,2
2026-01-29,8
2026-01-30,211
2026-01-31,62
2026-02-01,173
2026-02-02,1748
2026-02-03,166
2026-02-04,102
2026-02-05,77
2026-02-06,36
2026-02-07,35
2026-02-08,18
2026-02-09,8
2026-02-10,7
2026-02-11,6
2026-02-16,2
2026-02-17,1
2026-02-18,2
2026-02-19,1
2026-02-21,2
2026-02-22,1
2026-02-23,2
2026-02-25,2
2026-02-26,4
2026-02-27,1
2026-03-03,2
2026-03-05,4
2026-03-12,2
2026-03-13,2
2026-03-16,6
2026-03-17,8
2026-03-18,9
2026-03-19,2
2026-03-20,114
2026-03-21,40
2026-03-22,93
2026-03-23,1028
2026-03-24,150
2026-03-25,197
2026-03-26,73
2026-03-27,32
2026-03-28,29
2026-03-29,18
2026-03-30,16
2026-03-31,3
2026-04-01,1
2026-04-02,5
2026-04-03,2
2026-04-04,2
2026-04-06,4
2026-04-07,1
2026-04-08,2
2026-04-09,3
2026-04-10,3
2026-04-11,4
2026-04-13,2
2026-04-14,1
2026-04-15,1
2026-04-16,2
2026-04-17,1
2026-04-19,1
2026-04-20,1
2026-04-22,1
2026-04-24,2
2026-04-27,4
2026-04-29,1
2026-04-30,2
2026-05-01,1
2026-05-03,2
2026-05-04,1
2026-05-05,1
2026-05-06,1
2026-05-08,4
2026-05-11,3
2026-05-12,9
2026-05-13,3
2026-05-18,4
2026-05-19,3
2026-05-20,2
2026-05-24,1
2026-05-28,2
2026-06-01,1
2026-06-03,1
2026-06-07,1
2026-06-08,2
2026-06-11,1
2026-06-12,1
2026-06-14,4
2026-06-16,2
2026-06-17,1
2026-06-18,1
2026-06-25,3
2026-07-02,1
2026-07-04,1
2026-07-06,5
2026-07-07,3
2026-07-08,3
2026-07-13,2
2026-07-14,2
2026-07-15,3
2026-07-16,13
2026-07-17,84
2026-07-18,17
2026-07-19,83
2026-07-20,2037
2026-07-21,231
2026-07-22,114
2026-07-23,48
2026-07-24,21
2026-07-25,14
2026-07-26,9
2026-07-27,1
2026-07-28,4
2026-07-29,2
2026-07-30,5
2026-07-31,2
2026-08-01,1
2026-08-03,2
2026-08-04,6
2026-08-05,4
2026-08-06,6
2026-08-07,3
2026-08-08,3
2026-08-09,3
2026-08-10,11
2026-08-11,1
2026-08-13,1
2026-08-14,1
2026-08-16,2
2026-08-17,1
2026-08-18,5
2026-08-19,3
2026-08-20,2
2026-08-21,1
2026-08-22,3
2026-08-23,1
2026-08-24,3
2026-08-25,7
2026-08-26,2
2026-08-28,1
2026-08-31,2
2026-09-03,1
2026-09-06,1
2026-09-07,1
2026-09-08,1
2026-09-09,7
2026-09-10,6
2026-09-11,127
2026-09-12,44
2026-09-13,120
2026-09-14,1766
2026-09-15,331
2026-09-16,38
2026-09-17,38
